stt,name,price,other
19,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition,Chưa có,"Nintendo Switch: 16.5 GB , Nintendo Switch 2: 20.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch 2 , Nintendo , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , June 5, 2025"
20,The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition,Chưa có,"Nintendo Switch: 14.4 GB , Nintendo Switch 2: 24.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch 2 , Nintendo , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , June 5, 2025"
21,Nintendo Switch™ 2 Welcome Tour,$9.99,"1.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Adventure , Education , Simulation , Save Data Cloud , Nintendo Switch 2 , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , June 5, 2025"
22,Nintendo GameCube™ – Nintendo Classics,Chưa có,"6.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-4) , Online Play , Save Data Cloud , Nintendo Switch 2 , Nintendo , Nintendo , British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English , June 5, 2025"
23,Mario Kart™ World,Chưa có,"21.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-24) , Supported , Party , Racing , Online Play , Save Data Cloud , Nintendo Switch 2 , Nintendo , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , June 5, 2025"
24,Xenoblade Chronicles™ X: Definitive Edition,Chưa có,"Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , March 20, 2025"
25,Donkey Kong Country™ Returns HD,Chưa có,"Nintendo Switch: 8.3 GB , Nintendo Switch 2: 8.3 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , January 16, 2025"
26,Fitness Boxing 3: Your Personal Trainer,$49.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB , TV mode , Tabletop mode , Single System (1-2) , Supported , Sports , Training , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , December 5, 2024"
27,Mario & Luigi™: Brothership,$59.99,"Nintendo Switch: 10 GB , Nintendo Switch 2: 10 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , November 7, 2024"
28,Super Mario Party™ Jamboree,Chưa có,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 5.6 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-20) , Supported , Action , Party , Tabletop , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , October 17, 2024"
