stt,name,price,other
80,Pokémon Café ReMix,$0.00,"Nintendo Switch: 551 MB , Nintendo Switch 2: 551 MB , Handheld mode , Supported , Puzzle , Nintendo Switch , Nintendo , Japanese, German, Italian, Korean, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 23, 2020"
81,Jump Rope Challenge,Chưa có,"Nintendo Switch: 162 MB , Nintendo Switch 2: 162 MB , TV mode , Tabletop mode , Single System (1-2) , Supported , Application , Training , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 15, 2020"
82,Clubhouse Games™: 51 Worldwide Classics,Chưa có,"Nintendo Switch: 2.5 GB , Nintendo Switch 2: 2.5 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-4) , Online, Local , Supported , Party , Puzzle , Racing , Tabletop , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 5, 2020"
83,Xenoblade Chronicles™ Definitive Edition,Chưa có,"Nintendo Switch: 13.7 GB , Nintendo Switch 2: 13.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , May 29, 2020"
84,Good Job!™,$19.99,"Nintendo Switch: 419 MB , Nintendo Switch 2: 419 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Puzzle , Save Data Cloud , Nintendo Switch , Nintendo , Paladin Studios , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Latin American Spanish, Canadian French, American English , March 26, 2020"
85,Animal Crossing™: New Horizons,$59.99,"Nintendo Switch: 10.2 GB , Nintendo Switch 2: 10.2 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-8) , Supported , Simulation , Online Play , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , March 20, 2020"
86,Pokémon Mystery Dungeon™: Rescue Team DX,Chưa có,"Nintendo Switch: 2.2 GB , Nintendo Switch 2: 2.2 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English , March 6, 2020"
87,Pokémon™ HOME,Chưa có,"Nintendo Switch: 1.4 GB , Nintendo Switch 2: 1.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Application , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , February 11, 2020"
88,Tokyo Mirage Sessions™ #FE Encore,Chưa có,"Nintendo Switch: 11.3 GB , Nintendo Switch 2: 11.3 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Nintendo Switch , Nintendo , Japanese, French, Simplified Chinese, Traditional Chinese, American English , January 17, 2020"
89,Pokémon Sword and Pokémon Shield Double Pack Digital Version,Chưa có,"Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Simulation , Online Play , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 15, 2019"
90,Pokémon™ Sword,Chưa có,"Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Simulation , Online Play , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 15, 2019"
91,Pokémon™ Shield,Chưa có,"Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Simulation , Online Play , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 15, 2019"
92,The Stretchers™,Chưa có,"Nintendo Switch: 1.9 GB , Nintendo Switch 2: 1.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Puzzle , Save Data Cloud , Nintendo Switch , Nintendo , Tarsier Studios , Japanese, French, German, Italian, Spanish, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , November 8, 2019"
93,Luigi’s Mansion™ 3,$59.99,"Nintendo Switch: 7.4 GB , Nintendo Switch 2: 7.4 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-8) , Online (1-8) , Supported , Action , Adventure , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 31, 2019"
94,Ring Fit Adventure,$79.99,"Save Data Cloud , Nintendo , Nintendo , American English , October 18, 2019 , 110583 , 00045496596675"
95,The Legend of Zelda™: Link’s Awakening,$59.99,"Nintendo Switch: 5.9 GB , Nintendo Switch 2: 6.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , September 20, 2019"
96,DAEMON X MACHINA™,$59.99,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Shooting , Online Play , Nintendo Switch , Nintendo , French, German, Italian, Spanish, Korean, American English , September 13, 2019"
97,Super Nintendo Entertainment System™ – Nintendo Classics,Chưa có,"Nintendo Switch: 288 MB , Nintendo Switch 2: 311 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Online (2-) , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English , September 5, 2019"
98,Super Kirby Clash™,$0.00,"Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-4) , Supported , Action , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , September 4, 2019"
99,ASTRAL CHAIN,$59.99,"Nintendo Switch: 9.8 GB , Nintendo Switch 2: 9.8 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , PlatinumGames Inc , Japanese, British English, French, German, Italian, Spanish, Korean, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , August 30, 2019"
100,Fire Emblem™: Three Houses,$59.99,"Nintendo Switch: 11.6 GB , Nintendo Switch 2: 11.6 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Strategy , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , July 26, 2019"
