stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
1,Pokémon™ Pokopia,$39.99,Chưa có,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English",2026
2,Mario Tennis™ Fever,$39.99,10 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","February 12, 2026"
3,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,1.5 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"December 4, 2025"
4,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition,$59.99,31.6 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
5,Metroid Prime™ 4: Beyond,$59.99,"Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
6,Kirby™ Air Riders,$69.99,25 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-16)",Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 20, 2025"
7,Hyrule Warriors: Age of Imprisonment,$69.99,44.9 GB,"TV mode , Tabletop mode , Handheld mode",Single System (1-2),Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 6, 2025"
8,Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition,$69.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
9,Pokémon™ Legends: Z-A,$29.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
10,Super Mario Galaxy™ 2,$39.99,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.9 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
11,Super Mario Galaxy™,$29.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
12,Kirby™ and the Forgotten Land – Nintendo Switch™ 2 Edition + Star-Crossed World,$59.99,"Nintendo Switch: 5.8 GB , Nintendo Switch 2: 16.7 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-2) , Online (1-)","Action , Adventure",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","August 28, 2025"
13,Drag x Drive™,$39.99,1.9 GB,"TV mode , Tabletop mode",Chưa có,"Action , Sports",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","August 14, 2025"
14,Super Mario Party™ Jamboree – Nintendo Switch™ 2 Edition + Jamboree TV,$79.99,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 12.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-20)","Action , Party , Tabletop",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 24, 2025"
15,Pokémon™ Friends,$9.99,"Nintendo Switch: 871 MB , Nintendo Switch 2: 871 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Puzzle,Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","July 22, 2025"
16,Donkey Kong™ Bananza,$69.99,8.9 GB,"TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 17, 2025"
17,The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,9.6 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"June 5, 2025"
18,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,3.5 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"June 5, 2025"
19,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition,$59.99,"Nintendo Switch: 16.5 GB , Nintendo Switch 2: 20.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
20,The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition,$19.99,"Nintendo Switch: 14.4 GB , Nintendo Switch 2: 24.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
21,Nintendo Switch™ 2 Welcome Tour,$39.99,1.7 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Adventure , Education , Simulation",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
22,Nintendo GameCube™ – Nintendo Classics,$0.00,6.9 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Chưa có,Nintendo Switch 2,Nintendo,Nintendo,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English","June 5, 2025"
23,Mario Kart™ World,$39.99,21.9 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-24)","Party , Racing",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
24,Xenoblade Chronicles™ X: Definitive Edition,$59.99,"Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","March 20, 2025"
25,Donkey Kong Country™ Returns HD,$59.99,"Nintendo Switch: 8.3 GB , Nintendo Switch 2: 8.3 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),Action,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","January 16, 2025"
26,Fitness Boxing 3: Your Personal Trainer,$49.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB","TV mode , Tabletop mode",Single System (1-2),"Sports , Training",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 5, 2024"
27,Mario & Luigi™: Brothership,$59.99,"Nintendo Switch: 10 GB , Nintendo Switch 2: 10 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 7, 2024"
28,Super Mario Party™ Jamboree,$59.99,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 5.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-20)","Action , Party , Tabletop",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 17, 2024"
29,The Legend of Zelda™: Echoes of Wisdom,$29.99,"Nintendo Switch: 5.6 GB , Nintendo Switch 2: 5.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","September 26, 2024"
30,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
31,Nintendo World Championships: NES™ Edition,$7.99,"Nintendo Switch: 435 MB , Nintendo Switch 2: 435 MB","TV mode , Tabletop mode , Handheld mode","Single System (1-8) , Online (1-)","Action , Party",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 18, 2024"
32,Luigi's Mansion™ 2 HD,$49.99,"Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 27, 2024"
33,Age verification,$59.99,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
34,Paper Mario™: The Thousand-Year Door,$59.99,"Nintendo Switch: 5.1 GB , Nintendo Switch 2: 5.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 23, 2024"
35,Endless Ocean™ Luminous,$29.99,"Nintendo Switch: 5 GB , Nintendo Switch 2: 5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Adventure,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 2, 2024"
36,Princess Peach™: Showtime!,$49.99,"Nintendo Switch: 4.7 GB , Nintendo Switch 2: 4.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","March 22, 2024"
37,Fire Emblem™ Engage,,"Nintendo Switch: 16.6 GB , Nintendo Switch 2: 16.6 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Role playing , Strategy",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English","January 20, 2023"
38,Pokémon™ Scarlet and Pokémon™ Violet Double Pack,$59.99,Chưa có,Chưa có,Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,Chưa có,"November 18, 2022"
39,Pokémon™ Violet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 18, 2022"
40,Pokémon™ Scarlet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 18, 2022"
41,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
42,Splatoon™ 3,$24.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 9.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Shooting",Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Traditional Chinese, American English","September 9, 2022"
