id;name;price_usd;size;support;of_players;genre;system;publisher;developer;languages;release_date;release_year;release_month;source;file_name;load_ts;load_expired;load_staging;is_deleted;date_sk
159;Metroid Prime™ 4: Beyond;59.99;Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB;TV mode , Tabletop mode , Handheld mode;;;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-12-04;2025;12;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7643
160;Kirby™ Air Riders;69.99;21.7 GB;TV mode , Tabletop mode , Handheld mode;;Action , Party , Racing;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-11-20;2025;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7629
161;Hyrule Warriors: Age of Imprisonment;69.99;43.4 GB;TV mode , Tabletop mode , Handheld mode;;Action;Nintendo Switch 2;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2025-11-06;2025;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7615
162;Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition;69.99;Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch 2;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2025-10-16;2025;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7594
163;Pokémon™ Legends: Z-A;59.99;Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2025-10-16;2025;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7594
164;Super Mario Galaxy™ 2;39.99;Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-10-02;2025;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7580
165;Super Mario Galaxy™;39.99;Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-10-02;2025;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7580
166;Kirby™ and the Forgotten Land – Nintendo Switch™ 2 Edition + Star-Crossed World;79.99;Nintendo Switch: 5.8 GB , Nintendo Switch 2: 16.7 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (1-);Action , Adventure;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2025-08-28;2025;8;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7545
167;Drag x Drive™;19.99;1.9 GB;TV mode , Tabletop mode;;Action , Sports;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-08-14;2025;8;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7531
168;Super Mario Party™ Jamboree – Nintendo Switch™ 2 Edition + Jamboree TV;79.99;Nintendo Switch: 5.4 GB , Nintendo Switch 2: 12.6 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-20);Action , Party , Tabletop;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-07-24;2025;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7510
169;Pokémon™ Friends;9.99;Nintendo Switch: 871 MB , Nintendo Switch 2: 871 MB;TV mode , Tabletop mode , Handheld mode;;Puzzle;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2025-07-22;2025;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7508
170;Donkey Kong™ Bananza;69.99;8.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-07-17;2025;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7503
171;The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition Upgrade Pack;9.99;9.6 GB;;;;Nintendo Switch 2;Nintendo;;;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
172;The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition Upgrade Pack;9.99;3.5 GB;;;;Nintendo Switch 2;Nintendo;;;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
173;The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition;79.99;Nintendo Switch: 16.5 GB , Nintendo Switch 2: 20.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch 2;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
174;The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition;69.99;Nintendo Switch: 14.4 GB , Nintendo Switch 2: 24.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch 2;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
175;Nintendo Switch™ 2 Welcome Tour;9.99;1.7 GB;TV mode , Tabletop mode , Handheld mode;;Adventure , Education , Simulation;Nintendo Switch 2;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
176;Nintendo GameCube™ – Nintendo Classics;0.00;7.3 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-4);;Nintendo Switch 2;Nintendo;Nintendo;British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
177;Mario Kart™ World;79.99;21.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-24);Party , Racing;Nintendo Switch 2;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2025-06-05;2025;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7461
178;Xenoblade Chronicles™ X: Definitive Edition;59.99;Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2025-03-20;2025;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7384
179;Donkey Kong Country™ Returns HD;59.99;Nintendo Switch: 8.3 GB , Nintendo Switch 2: 8.3 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2025-01-16;2025;1;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7321
180;Fitness Boxing 3: Your Personal Trainer;49.99;Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB;TV mode , Tabletop mode;Single System (1-2);Sports , Training;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2024-12-05;2024;12;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7279
181;Mario & Luigi™: Brothership;59.99;Nintendo Switch: 10 GB , Nintendo Switch 2: 10 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2024-11-07;2024;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7251
182;Super Mario Party™ Jamboree;59.99;Nintendo Switch: 5.4 GB , Nintendo Switch 2: 5.6 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-20);Action , Party , Tabletop;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2024-10-17;2024;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7230
183;The Legend of Zelda™: Echoes of Wisdom;59.99;Nintendo Switch: 5.6 GB , Nintendo Switch 2: 5.7 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2024-09-26;2024;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7209
184;Age verification;;;;;;;;;;;;;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;-1
185;Nintendo World Championships: NES™ Edition;29.99;Nintendo Switch: 435 MB , Nintendo Switch 2: 435 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-8) , Online (1-);Action , Party;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2024-07-18;2024;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7139
186;Luigi's Mansion™ 2 HD;59.99;Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2024-06-27;2024;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7118
187;Age verification;59.99;;;;;;;;;;;;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;-1
188;Paper Mario™: The Thousand-Year Door;59.99;Nintendo Switch: 5.1 GB , Nintendo Switch 2: 5.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2024-05-23;2024;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;7083
189;Game Boy™ – Nintendo Switch Online;0.00;Nintendo Switch: 146 MB , Nintendo Switch 2: 146 MB;TV mode , Tabletop mode , Handheld mode;;;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, American English;2023-02-08;2023;2;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6613
190;Fire Emblem™ Engage;59.99;Nintendo Switch: 16.6 GB , Nintendo Switch 2: 16.6 GB;TV mode , Tabletop mode , Handheld mode;;Role playing , Strategy;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English;2023-01-20;2023;1;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6594
191;Pokémon™ Scarlet and Pokémon™ Violet Double Pack;119.99;;;;Role playing;Nintendo Switch;Nintendo;;;2022-11-18;2022;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6531
192;Pokémon™ Violet;59.99;Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2022-11-18;2022;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6531
193;Pokémon™ Scarlet;59.99;Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2022-11-18;2022;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6531
194;Splatoon™ 3;59.99;Nintendo Switch: 9.9 GB , Nintendo Switch 2: 9.9 GB;TV mode , Tabletop mode , Handheld mode;;Action , Shooting;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Traditional Chinese, American English;2022-09-09;2022;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6461
195;Kirby’s Dream Buffet™;14.99;Nintendo Switch: 1.2 GB , Nintendo Switch 2: 1.2 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (1-4);Action , Racing;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2022-08-17;2022;8;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6438
196;Xenoblade Chronicles™ 3;59.99;Nintendo Switch: 14.4 GB , Nintendo Switch 2: 14.4 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese;2022-07-29;2022;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6419
197;LIVE A LIVE;49.99;Nintendo Switch: 4.7 GB , Nintendo Switch 2: 4.7 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2022-07-22;2022;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6412
198;Fire Emblem Warriors: Three Hopes;59.99;Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Strategy;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English;2022-06-24;2022;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6384
199;Mario Strikers™: Battle League;29.99;Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.8 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-8) , Online (1-8);Action , Sports;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2022-06-10;2022;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6370
